group	taxa	abund	relative_abund
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;;;0.56	559	0.0018337849452488896
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;;;0.62	218	7.151433239074381e-4
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;;;0.77	2376	0.0077944061357985
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;;;0.8	1012	0.0033198396504326945
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;;;0.84	2597	0.008519390881594573
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;parapaucimobilis;;0.56	1373	0.004504090751031709
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;phyllosphaerae;;0.58	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;;;0.78	94	3.0836455251054674e-4
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;;;;;;0.5	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;;;;;;0.89	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;;;;;;1	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;;;;;0.87	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia;insecticola;;0.8	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;pickettii;;0.92	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;;;;0.92	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;;;;1	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;testosteroni;;1	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas;;;0.95	6	1.968284377726894e-5
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas;puraquae;;0.57	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Xylophilus;;;0.55	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;;;;0.89	67	2.197917555128365e-4
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;;;;0.97	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Candidatus Profftella;;;0.72	3657	0.011996693282245419
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;;;0.52	3471	0.011386525125150081
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;;;0.57	23	7.54509011461976e-5
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;;;0.6	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;;;0.8	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;;;0.83	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;;;0.96	1964	0.0064428508630927
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;;agri;0.87	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;aerilata;;0.51	590	0.0019354796380981125
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;aerilata;;0.53	183	6.003267352067027e-4
